Number,Element,Nuclide,Mass,Composition,Weight,Notes
80,Hg,198,197.9667686,0.0997,,
80,Hg,199,198.9682806,0.1687,,
80,Hg,200,199.9683266,0.231,,
80,Hg,201,200.9703028,0.1318,,
80,Hg,202,201.9706434,0.2986,,
80,Hg,204,203.973494,0.0687,,
81,Tl,203,202.9723446,0.2952,"[204.382,204.385]",?
81,Tl,205,204.9744278,0.7048,,
82,Pb,204,203.973044,0.014,207.2,"g,r"
82,Pb,206,205.9744657,0.241,,
82,Pb,207,206.9758973,0.221,,
82,Pb,208,207.9766525,0.524,,
83,Bi,209,208.9803991,1,208.9804,?
84,Po,209,208.9824308,,?,
84,Po,210,209.9828741,,,
85,At,210,209.9871479,,?,
85,At,211,210.9874966,,,
86,Rn,211,210.9906011,,?,
86,Rn,220,220.0113941,,,
86,Rn,222,222.0175782,,,
87,Fr,223,223.019736,,?,
88,Ra,223,223.0185023,,?,
88,Ra,224,224.020212,,,
88,Ra,226,226.0254103,,,
88,Ra,228,228.0310707,,,
89,Ac,227,227.0277523,,?,
90,Th,230,230.0331341,232.0377,g,
90,Th,232,232.0380558,1,,
91,Pa,231,231.0358842,1,231.03588,?
92,U,233,233.0396355,238.02891,"g,m",
92,U,234,234.0409523,0.000054,,
92,U,235,235.0439301,0.007204,,
92,U,236,236.0455682,,,
92,U,238,238.0507884,0.992742,,
93,Np,236,236.04657,,?,
93,Np,237,237.0481736,,,
94,Pu,238,238.0495601,,?,
94,Pu,239,239.0521636,,,
94,Pu,240,240.0538138,,,
94,Pu,241,241.0568517,,,
94,Pu,242,242.0587428,,,
94,Pu,244,244.0642053,,,
95,Am,241,241.0568293,,?,
95,Am,243,243.0613813,,,
96,Cm,243,243.0613893,,?,
96,Cm,244,244.0627528,,,
96,Cm,245,245.0654915,,,
96,Cm,246,246.0672238,,,
96,Cm,247,247.0703541,,,
96,Cm,248,248.0723499,,,
97,Bk,247,247.0703073,,?,
97,Bk,249,249.0749877,,,
98,Cf,249,249.0748539,,?,
98,Cf,250,250.0764062,,,
98,Cf,251,251.0795886,,,
98,Cf,252,252.0816272,,,
99,Es,252,252.08298,,?,
100,Fm,257,257.0951061,,?,
101,Md,258,258.0984315,,?,
102,Md,260,260.10365,,,
102,No,259,259.10103,,?,
103,Lr,262,262.10961,,?,
104,Rf,267,267.12179,,?,
105,Db,268,268.12567,,?,
106,Sg,271,271.13393,,?,
107,Bh,272,272.13826,,?,
108,Hs,270,270.13429,,?,
109,Mt,276,276.15159,,?,
110,Ds,281,281.16451,,?,
111,Rg,280,280.16514,,?,
112,Cn,285,285.17712,,?,
113,Nh,284,284.17873,,?,
114,Fl,289,289.19042,,?,
115,Mc,288,288.19274,,?,
116,Lv,293,293.20449,,?,
117,Ts,292,292.20746,,?,
118,Og,294,294.21392,,?,
